,game1,game2,home_x,away_x,away_win
339,1469,2779,-18.0,-13.0,0.0
340,1470,2602,-12.0,-2.0,0.0
341,1471,1919,26.0,24.0,1.0
342,1472,3103,-1.0,-7.0,0.0
343,1473,2782,16.0,5.0,1.0
344,1474,2807,2.0,-7.0,0.0
345,1476,2861,1.0,-10.0,0.0
346,1477,2323,15.0,-21.0,0.0
347,1479,2956,5.0,-24.0,0.0
348,1481,2613,19.0,8.0,1.0
349,1482,1962,4.0,-12.0,0.0
350,1483,2905,13.0,1.0,1.0
351,1484,2797,18.0,-2.0,0.0
352,1485,2618,-2.0,-3.0,0.0
353,1486,2622,-5.0,-1.0,0.0
354,1488,2732,-2.0,-7.0,0.0
355,1489,2815,7.0,-1.0,0.0
356,1490,3154,-2.0,2.0,1.0
357,1491,2643,10.0,-9.0,0.0
358,1492,2629,12.0,29.0,1.0
359,1493,2631,20.0,15.0,1.0
360,1494,2554,12.0,-8.0,0.0
361,1495,2918,6.0,6.0,1.0
362,1496,2545,22.0,4.0,1.0
363,1498,2055,-10.0,-29.0,0.0
364,1499,2637,8.0,2.0,1.0
365,1500,2793,-16.0,-1.0,0.0
366,1501,3478,7.0,6.0,1.0
367,1502,2785,1.0,-3.0,0.0
368,1503,2925,8.0,-7.0,0.0
369,1504,2548,-11.0,-25.0,0.0
370,1505,3018,-1.0,-11.0,0.0
371,1506,2642,-6.0,-27.0,0.0
372,1507,2836,10.0,5.0,1.0
373,1508,2551,-6.0,-10.0,0.0
374,1509,3304,22.0,15.0,1.0
375,1510,2647,-11.0,-19.0,0.0
376,1511,2648,10.0,1.0,1.0
377,1512,2553,-16.0,-11.0,0.0
378,1513,2505,8.0,-5.0,0.0
379,1514,2697,6.0,-18.0,0.0
380,1516,2584,-6.0,-21.0,0.0
381,1517,2585,-6.0,-3.0,0.0
382,1518,2937,12.0,16.0,1.0
383,1519,2875,13.0,-3.0,0.0
384,1520,2635,14.0,-3.0,0.0
385,1521,2586,11.0,5.0,1.0
386,1523,2587,20.0,8.0,1.0
387,1524,2304,41.0,6.0,1.0
388,1525,3203,-6.0,2.0,1.0
389,1526,2739,11.0,12.0,1.0
390,1527,2558,-4.0,-9.0,0.0
