,game1,game2
931,2238,3530
932,2239,3528
933,2241,3529
934,2242,3257
935,2245,3266
936,2251,3407
937,2252,3540
938,2254,3508
939,2256,2822
940,2261,2621
941,2263,2763
942,2264,3552
943,2265,3482
944,2266,3201
945,2267,3205
946,2268,3211
947,2269,3489
948,2270,3490
949,2271,3099
950,2273,2750
951,2274,2526
952,2275,3503
953,2277,3507
954,2278,2646
955,2284,2959
956,2287,2968
957,2288,2677
958,2294,3328
959,2295,3265
960,2296,2703
961,2298,3147
962,2300,3271
963,2301,3168
964,2303,3469
965,2308,3403
966,2309,3541
967,2311,3473
968,2312,3004
969,2313,3384
970,2315,3413
971,2319,3392
972,2320,3171
973,2322,2603
974,2325,3451
975,2327,3148
976,2328,3156
977,2335,3013
978,2342,3523
979,2346,3048
980,2349,3299
981,2351,3423
982,2352,3380
983,2355,3381
984,2356,3347
985,2357,2659
986,2358,3382
987,2363,3385
988,2367,3069
989,2372,3387
990,2373,3355
991,2376,3342
992,2378,3491
993,2382,3497
994,2384,2656
995,2388,3358
996,2390,3393
997,2391,2849
998,2392,2663
999,2395,2667
1000,2398,2872
1001,2400,3442
1002,2403,2869
1003,2407,3138
1004,2409,3532
1005,2410,3512
1006,2413,2593
1007,2414,3035
1008,2416,3390
1009,2420,3438
1010,2422,3502
1011,2423,3173
1012,2424,3496
1013,2425,2754
1014,2426,2578
1015,2427,3369
1016,2434,3053
1017,2439,3189
1018,2440,3586
1019,2443,3569
1020,2448,2888
1021,2455,3571
1022,2458,2737
1023,2464,3127
1024,2466,3245
1025,2468,3524
1026,2472,3401
1027,2474,3724
1028,2477,3186
1029,2480,2727
1030,2502,3180
1031,2506,3475
1032,2510,3278
1033,2512,3476
1034,2519,3504
1035,2527,3185
1036,2528,3405
1037,2538,2895
1038,2539,3472
1039,2540,3322
1040,2546,3114
1041,2557,3356
1042,2564,3175
1043,2565,3397
1044,2575,3144
1045,2580,3711
1046,2582,3732
1047,2588,3710
1048,2589,3659
1049,2590,3649
1050,2591,3664
1051,2600,2832
1052,2617,3188
1053,2626,3636
1054,2657,3391
1055,2662,3697
1056,2664,3682
1057,2669,3273
1058,2672,3333
1059,2681,3533
1060,2688,3336
1061,2690,3537
1062,2695,3450
1063,2717,3054
1064,2718,3289
1065,2722,3327
1066,2725,3293
1067,2738,3720
1068,2759,3290
1069,2774,3402
1070,2794,3070
1071,2853,3517
1072,2860,3404
1073,2862,3318
1074,2864,3113
1075,2866,3453
1076,2867,3465
1077,2871,3509
1078,2874,3513
1079,2900,3417
1080,2913,3416
1081,2916,3378
1082,2928,3176
1083,2944,3309
1084,2952,3432
1085,1943,2954
1086,2962,3247
1087,2970,3258
1088,2982,3363
1089,2986,3262
1090,2996,3431
1091,3044,3161
1092,3129,3312
1093,3178,3418
1094,2164,3429
1095,2599,3444
1096,1201,3449
1097,3455,3716
1098,1410,3462
1099,3196,3467
1100,1890,3481
1101,1978,3487
1102,3389,3492
1103,2471,3493
1104,1246,3498
1105,1966,3544
1106,3210,3554
1107,1848,3558
1108,1676,3563
1109,2271,3565
1110,1092,3567
1111,2627,3568
1112,2541,3570
1113,1974,3572
1114,3118,3574
1115,1161,3577
1116,3245,3578
1117,1846,3580
1118,1555,3581
1119,2651,3582
1120,2320,3583
1121,1090,3584
1122,1971,3590
1123,2539,3591
1124,2358,3592
1125,2512,3596
1126,2326,3598
1127,1528,3599
1128,2388,3601
1129,3406,3603
1130,2120,3604
1131,3404,3606
1132,2426,3607
1133,2782,3609
1134,2613,3612
1135,2363,3615
1136,3571,3618
1137,1983,3619
1138,3391,3620
1139,1829,3628
1140,1285,3630
1141,2987,3631
1142,2297,3632
1143,2375,3633
1144,2060,3647
1145,1889,3648
1146,3214,3653
1147,2389,3658
1148,1235,3662
1149,2854,3663
1150,2237,3665
1151,2681,3675
1152,2427,3676
1153,2501,3678
1154,3144,3684
1155,2989,3687
1156,3486,3690
1157,2939,3691
1158,2444,3696
1159,2852,3699
1160,2673,3702
1161,3302,3715
1162,2568,3727
1163,1759,3733
1164,3739,4362
1165,3760,4458
1166,3767,6024
1167,3768,5208
1168,3787,6083
1169,3790,4833
1170,3809,5377
1171,3810,5135
1172,3824,4457
1173,3833,4004
1174,3852,6012
1175,3853,4914
1176,3858,4025
1177,3861,6666
1178,3863,4962
1179,3877,6288
1180,3886,5081
1181,3905,4464
1182,3908,4856
1183,3927,4542
1184,3935,4524
1185,3960,6244
1186,3961,5976
1187,3963,6063
1188,4006,5114
1189,4007,7120
1190,4010,4872
1191,4016,5082
1192,4019,6915
1193,4050,4337
1194,4055,5154
1195,4056,4320
1196,4057,4357
1197,4069,5934
1198,4078,6180
1199,4080,4578
1200,4093,6598
1201,4100,4281
1202,4113,5347
1203,4116,6218
1204,4118,4405
1205,4119,5978
1206,4124,5070
1207,4125,5102
1208,4128,6511
1209,4160,7129
1210,4162,4533
1211,4165,6183
1212,4171,6386
1213,4172,5774
1214,4180,6318
1215,4182,5415
1216,4190,6136
1217,4206,5225
1218,4217,5290
1219,4245,5729
1220,4249,5964
1221,4252,4461
1222,4260,7203
1223,4269,5156
1224,4270,4905
1225,4280,4635
1226,4296,5958
1227,4309,6282
1228,4330,5404
1229,4339,6333
1230,4340,4761
1231,4341,6241
1232,4348,6967
1233,4349,6786
1234,4350,4987
1235,4382,5068
1236,4384,5069
1237,4386,5930
1238,4394,7117
1239,4398,4988
1240,4428,5974
1241,4429,5376
1242,4435,6237
1243,4442,5675
1244,4445,5027
1245,4462,5107
1246,4472,5641
1247,4489,5938
1248,4517,6025
1249,4518,6471
1250,4520,6806
1251,4525,5587
1252,4530,4938
1253,4538,5646
1254,4557,7326
1255,4560,5963
1256,4571,5408
1257,4579,5133
1258,4590,6117
1259,4595,6254
1260,4612,5595
1261,4628,6182
1262,4658,7511
1263,4664,6316
1264,4670,5084
1265,4679,4875
1266,4759,6841
1267,4775,5710
1268,4777,5416
1269,4782,5079
1270,4813,6336
1271,4843,5642
1272,4878,5221
1273,4886,5483
1274,4892,6086
1275,4893,6927
1276,4894,7243
1277,4896,7486
1278,4897,6601
1279,4898,7174
1280,4901,6115
1281,4902,6033
1282,4904,7491
1283,4908,7313
1284,4910,6120
1285,4911,7281
1286,4912,7496
1287,4916,6764
1288,4917,6047
1289,4918,7296
1290,4919,7497
1291,4920,7298
1292,4921,6167
1293,4922,7264
1294,4924,7492
1295,4926,6035
1296,4928,6081
1297,4929,6175
1298,4930,6788
1299,4931,6242
1300,4932,6259
1301,4933,7513
1302,4934,5979
1303,4935,6186
1304,4936,6188
1305,4937,6189
1306,4939,6212
1307,4940,7503
1308,4941,6194
1309,4942,6664
1310,4944,6196
1311,4945,7045
1312,4947,5444
1313,4948,7338
1314,4952,7246
1315,4958,6085
1316,4959,6207
1317,4960,7514
1318,4963,5236
1319,4964,6661
1320,4965,7451
1321,4966,6657
1322,4969,5527
1323,4970,6103
1324,4971,6257
1325,4972,6106
1326,4974,5825
1327,4975,6113
1328,4976,6311
1329,4978,6166
1330,4979,6215
1331,4980,6119
1332,4981,5942
1333,4982,6267
1334,4983,6122
1335,4984,6689
1336,4985,6227
1337,4986,6124
1338,4990,6109
1339,4991,7421
1340,4994,6280
1341,4996,6272
1342,4997,6179
1343,4999,6283
1344,5001,6032
1345,5003,6140
1346,5005,6141
1347,5006,7428
1348,5008,6150
1349,5009,6151
1350,5010,5815
1351,5011,6639
1352,5012,6155
1353,5013,7061
1354,5015,6162
1355,5018,7445
1356,5020,7439
1357,5021,6172
1358,5023,6030
1359,5024,6294
1360,5028,6058
1361,5029,6461
1362,5030,5889
1363,5031,6052
1364,5033,6297
1365,5034,6298
1366,5035,6341
1367,5036,6285
1368,5038,6299
1369,5039,6301
1370,5040,6091
1371,5041,6302
1372,5042,5432
1373,5043,6061
1374,5044,6062
1375,5046,6762
1376,5047,6065
1377,5049,6645
1378,5052,6093
1379,5053,5780
1380,5054,6421
1381,5056,7450
1382,5057,6204
1383,5058,7331
1384,5059,7519
1385,5062,7391
1386,5063,7437
1387,5064,6250
1388,5065,6077
1389,5066,6785
1390,5071,7102
1391,5072,5820
1392,5076,5831
1393,5077,6274
1394,5080,6375
1395,5083,5843
1396,5089,7088
1397,5092,6232
1398,5093,6233
1399,5095,7152
1400,5096,6522
1401,5097,6118
1402,5099,5885
1403,5100,6056
1404,5103,6181
1405,5104,6979
1406,5105,6587
1407,5106,5962
1408,5109,6202
1409,5110,6253
1410,5111,6462
1411,5113,5648
1412,5115,6573
1413,5116,6724
1414,5119,6174
1415,5121,5907
1416,5122,6636
1417,5124,6277
1418,5125,6468
1419,5126,6289
1420,5127,6268
1421,5129,6384
1422,5130,6386
1423,5134,6273
1424,5136,6481
1425,5137,6275
1426,5138,6405
1427,5139,6852
1428,5140,6417
1429,5142,6284
1430,5143,6408
1431,5145,6292
1432,5148,6575
1433,5150,6467
1434,5151,6470
1435,5152,6459
1436,5153,6453
1437,5155,6345
1438,5158,7023
